address,location,vulnerability,information,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xf01b26626550448606de2b6e7eeda1216d9cd239.sol,294,KA,selfdestruct(msg.sender);,v0.4.22,SWC-106
/bdata2/sc/dataset/mainnet/0x4c4d56ea13c11050bfd660fbe85a8b0fda962823.sol,320,KA,selfdestruct(address(owner));,v0.5.0,SWC-106
/bdata2/sc/dataset/mainnet/0xa26665a15a6bab711ed0aa9667a338a2230c4ad4.sol,169,KA,selfdestruct(_owner_of_contract_resolver);,v0.4.19,SWC-106
/bdata2/sc/dataset/mainnet/0x0b7bda8ad804cb3318ae8490b984c2883ada2154.sol,284,KA,selfdestruct(msg.sender);,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x013620bf5142f9d8487e92c1d514c38e1b086613.sol,120,KA,selfdestruct(owner);,v0.4.18,SWC-106
/bdata2/sc/dataset/mainnet/0xd1a2b2ab35b439456fb5c28ad7ff23f893a302c1.sol,110,KA,selfdestruct(ownerAddress);,v0.4.19,SWC-106
/bdata2/sc/dataset/mainnet/0x5572A6c464f50395A0f3bCa67E75C51dd9321C02.sol,273,KA,selfdestruct(owner);,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x5572A6c464f50395A0f3bCa67E75C51dd9321C02.sol,485,KA,selfdestruct(owner);,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xf2210f65235c2fb391ab8650520237e6378e5c5a.sol,995,KA,selfdestruct(address(msg.sender));,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x05dab93a76f33fdb225e0a05cafbdd41612b88b6.sol,81,KA,selfdestruct(winner.winner);,v0.4.22,SWC-106
/bdata2/sc/dataset/mainnet/0x05dab93a76f33fdb225e0a05cafbdd41612b88b6.sol,82,KA,selfdestruct(bipedaljoe);,v0.4.22,SWC-106
/bdata2/sc/dataset/mainnet/0xc95d227a1cf92b6fd156265aa8a3ca7c7de0f28e.sol,225,KA,selfdestruct(owner);,v0.4.18,SWC-106
/bdata2/sc/dataset/mainnet/0x2b9609befee6c1b26c1409bae37d76e6d499414a.sol,367,KA,selfdestruct(_to);,0.8.0,SWC-106
/bdata2/sc/dataset/mainnet/0xc18a2e620c36cbf0c278d443541264ffc9c8808c.sol,463,KA,selfdestruct(address(msg.sender));,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x9C7518F7a0f5bC4D57702fcE8C0778F7Fb2f09f8.sol,362,KA,selfdestruct(address(msg.sender));,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x46e8fe6bbe3c08ecc250295583490be9ac97b969.sol,726,KA,selfdestruct(address(msg.sender));,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x24afa69210c46d703c693d0ab4295df080bd1c9b.sol,62,KA,selfdestruct(owner);,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x66c7f4c7e59b6e780142aad5c9f427fa5f8dffc6.sol,426,KA,selfdestruct(address(msg.sender));,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x50f9220ca9736481375f1f069001b38db32a3897.sol,250,KA,selfdestruct(owner);,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x032de41b6677cf4f6a40859d50a7e986e3119284.sol,19,KA,selfdestruct(address(this));,v0.4.19,SWC-106
/bdata2/sc/dataset/mainnet/0x8cdc892df28249ad590d07bdfd5ed6d496f29a01.sol,158,KA,selfdestruct(owner);,v0.4.21,SWC-106
