address,location,filepath,vulnerability,severity,column,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x2806e2e25480856432edB151e2975b6A49a5E079.sol,266,/bdata2/sc/dataset/mainnet/0x2806e2e25480856432edB151e2975b6A49a5E079.sol,SOLIDITY_TX_ORIGIN,2,30,0.6.12,SWC-115
/bdata2/sc/dataset/mainnet/0xf4f5fbF9ecc85F457aA4468F20Fa88169970c44D.sol,1780,/bdata2/sc/dataset/mainnet/0xf4f5fbF9ecc85F457aA4468F20Fa88169970c44D.sol,SOLIDITY_TX_ORIGIN,2,40,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0xf4f5fbF9ecc85F457aA4468F20Fa88169970c44D.sol,1789,/bdata2/sc/dataset/mainnet/0xf4f5fbF9ecc85F457aA4468F20Fa88169970c44D.sol,SOLIDITY_TX_ORIGIN,2,49,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x5b9954a691e44c08d3b86517fe2fe690b2d96fd7.sol,1270,/bdata2/sc/dataset/mainnet/0x5b9954a691e44c08d3b86517fe2fe690b2d96fd7.sol,SOLIDITY_TX_ORIGIN,2,51,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x6beF3353cd4dE97AF0B6ECa10921ef0F03b2fc51.sol,465,/bdata2/sc/dataset/mainnet/0x6beF3353cd4dE97AF0B6ECa10921ef0F03b2fc51.sol,SOLIDITY_TX_ORIGIN,2,8,0.8.4,SWC-115
/bdata2/sc/dataset/mainnet/0x3c781C186fB2Cfeb74CeDac58BcedaF353Bd6e5F.sol,1735,/bdata2/sc/dataset/mainnet/0x3c781C186fB2Cfeb74CeDac58BcedaF353Bd6e5F.sol,SOLIDITY_TX_ORIGIN,2,32,0.8.13,SWC-115
/bdata2/sc/dataset/mainnet/0x12302718C59d276786fd1C6242794EAD0E99b140.sol,246,/bdata2/sc/dataset/mainnet/0x12302718C59d276786fd1C6242794EAD0E99b140.sol,SOLIDITY_TX_ORIGIN,2,55,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0x12302718C59d276786fd1C6242794EAD0E99b140.sol,250,/bdata2/sc/dataset/mainnet/0x12302718C59d276786fd1C6242794EAD0E99b140.sol,SOLIDITY_TX_ORIGIN,2,51,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0xc007290e4e0a7aaa295920992067d61812769eed.sol,1867,/bdata2/sc/dataset/mainnet/0xc007290e4e0a7aaa295920992067d61812769eed.sol,SOLIDITY_TX_ORIGIN,2,12,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0xf2ed8d7388f49e3471dc887b43761872fdedec46.sol,1026,/bdata2/sc/dataset/mainnet/0xf2ed8d7388f49e3471dc887b43761872fdedec46.sol,SOLIDITY_TX_ORIGIN,2,31,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0xF2b4bB6cA987fbB9b6ECD5a8d94B27DfAaE49204.sol,1015,/bdata2/sc/dataset/mainnet/0xF2b4bB6cA987fbB9b6ECD5a8d94B27DfAaE49204.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xF2b4bB6cA987fbB9b6ECD5a8d94B27DfAaE49204.sol,1021,/bdata2/sc/dataset/mainnet/0xF2b4bB6cA987fbB9b6ECD5a8d94B27DfAaE49204.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xF2b4bB6cA987fbB9b6ECD5a8d94B27DfAaE49204.sol,1048,/bdata2/sc/dataset/mainnet/0xF2b4bB6cA987fbB9b6ECD5a8d94B27DfAaE49204.sol,SOLIDITY_TX_ORIGIN,2,25,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0x31c49aFDB76fCCdaCB49aB903a7846e1ae2372d6.sol,258,/bdata2/sc/dataset/mainnet/0x31c49aFDB76fCCdaCB49aB903a7846e1ae2372d6.sol,SOLIDITY_TX_ORIGIN,2,25,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xC799f57355677A19b91c722734743215513DEcE5.sol,617,/bdata2/sc/dataset/mainnet/0xC799f57355677A19b91c722734743215513DEcE5.sol,SOLIDITY_TX_ORIGIN,2,12,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xC799f57355677A19b91c722734743215513DEcE5.sol,652,/bdata2/sc/dataset/mainnet/0xC799f57355677A19b91c722734743215513DEcE5.sol,SOLIDITY_TX_ORIGIN,2,32,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xA7b1748F35eCF77e92d4AE403781781eE0bDb22B.sol,279,/bdata2/sc/dataset/mainnet/0xA7b1748F35eCF77e92d4AE403781781eE0bDb22B.sol,SOLIDITY_TX_ORIGIN,2,25,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xA7b1748F35eCF77e92d4AE403781781eE0bDb22B.sol,307,/bdata2/sc/dataset/mainnet/0xA7b1748F35eCF77e92d4AE403781781eE0bDb22B.sol,SOLIDITY_TX_ORIGIN,2,25,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xA7b1748F35eCF77e92d4AE403781781eE0bDb22B.sol,330,/bdata2/sc/dataset/mainnet/0xA7b1748F35eCF77e92d4AE403781781eE0bDb22B.sol,SOLIDITY_TX_ORIGIN,2,25,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xb3165aBdfEB0a3779264aAc5c71b81b1B9a4B705.sol,492,/bdata2/sc/dataset/mainnet/0xb3165aBdfEB0a3779264aAc5c71b81b1B9a4B705.sol,SOLIDITY_TX_ORIGIN,2,24,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0x708CEe634dDDA13Cecbb2925599441e884d20e36.sol,15,/bdata2/sc/dataset/mainnet/0x708CEe634dDDA13Cecbb2925599441e884d20e36.sol,SOLIDITY_TX_ORIGIN,2,24,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xc4799e326fF8CFa7ff6ae3dbF97A80021694cf57.sol,277,/bdata2/sc/dataset/mainnet/0xc4799e326fF8CFa7ff6ae3dbF97A80021694cf57.sol,SOLIDITY_TX_ORIGIN,2,27,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0x3d35818b29c61eF9E5F1D5B88FD9168636A888a7.sol,298,/bdata2/sc/dataset/mainnet/0x3d35818b29c61eF9E5F1D5B88FD9168636A888a7.sol,SOLIDITY_TX_ORIGIN,2,27,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0x9214e4d522C7398362406141355472A67CEA8840.sol,749,/bdata2/sc/dataset/mainnet/0x9214e4d522C7398362406141355472A67CEA8840.sol,SOLIDITY_TX_ORIGIN,2,12,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0x9214e4d522C7398362406141355472A67CEA8840.sol,773,/bdata2/sc/dataset/mainnet/0x9214e4d522C7398362406141355472A67CEA8840.sol,SOLIDITY_TX_ORIGIN,2,36,0.8.11,SWC-115
