address,location,vulnerability,impact,vulnerable_elements_type,vulnerable_elements_name,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x7cbb6bf92a288fa3e28cb32a60e4cc0c88d8f2bf.sol,,suicidal,High,,,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x44C711794c467339EDDDAe787D94703A6B56C7FD.sol,,suicidal,High,,,0.8.11,SWC-106
/bdata2/sc/dataset/mainnet/0xb9b2b770e023bbf0b9ddae53a09e3b03ce0f685f.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x924d8d3b280c5da7cf2b303d0cbc267a0d52cd34.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0xfc440f51c020a0d2c22bf3c36f9cb13105915152.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xF928d6f153a640F23AAaB483a733316c1b58ce39.sol,,suicidal,High,,,0.8.13,SWC-106
/bdata2/sc/dataset/mainnet/0x791b38ff1efe6fd71bcfb5af1b684bc72156f589.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0xE487FcbE4FDCaD0Fa36Ff1B4ad8b8be5D1d31d87.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0xfb5e3ae520fe4dde1d1822794c16670623839753.sol,,suicidal,High,,,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0x3bcaf56923335062e8f272d011efd2e40fa42147.sol,,suicidal,High,,,v0.4.11,SWC-106
/bdata2/sc/dataset/mainnet/0x64d63840cfbcb5a7320c4e104b116f6aa31ce08b.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x49dBfE1C07718f27dbB7496340D20f879b6DC368.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x82515f49309101999dbb7113971e2188e1d7a4ee.sol,,suicidal,High,,,0.6.6,SWC-106
/bdata2/sc/dataset/mainnet/0x0cc938417AF3d25BB90D05cA60a9269Aa903fBC7.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x4ed184d6a9e449ecb984cb1fea7ed40db59439fd.sol,,suicidal,High,,,v0.4.23,SWC-106
/bdata2/sc/dataset/mainnet/0x9eead2301792af12115d125c48966246e5b455a1.sol,,suicidal,High,,,v0.4.22,SWC-106
/bdata2/sc/dataset/mainnet/0x86fadbadd60424dba89280358f467f37a169ba15.sol,,suicidal,High,,,0.8.16,SWC-106
/bdata2/sc/dataset/mainnet/0xC026e634d0E837f191F0DefAE549667C01cD86D4.sol,,suicidal,High,,,0.8.4,SWC-106
/bdata2/sc/dataset/mainnet/0x523630976eB6147621B5c31c781eBe2Ec2a806E0.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x10c0be5becdfafa53a2b20a987f7d55f24cb2011.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xf32Bc592629A98e0D7a7413DC1808797F05CAeFd.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x068057ed7e9e0d074ef6f39a68278a8e4a9f8e8b.sol,,suicidal,High,,,v0.4.23,SWC-106
/bdata2/sc/dataset/mainnet/0xEd9938294aCF9EE52D097133CA2cAafF0C804F16.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0xC018a8074EE9F613fB3768782e97ac5C507d4765.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x5049429a983fdd74009a8700276cbeee5b79c358.sol,,suicidal,High,,,0.8.13,SWC-106
/bdata2/sc/dataset/mainnet/0x7199C3fBc0832e8798d2514eEAa88f0CE597698D.sol,,suicidal,High,,,v0.4.11,SWC-106
/bdata2/sc/dataset/mainnet/0xf1eae7b573b5e0cc194b54e391a1cc4dfe611bd0.sol,,suicidal,High,,,v0.4.22,SWC-106
/bdata2/sc/dataset/mainnet/0xd1b5cb3a6ea812c8c444e8d7d5692905df097c0e.sol,,suicidal,High,,,v0.4.25,SWC-106
/bdata2/sc/dataset/mainnet/0xf5c29f2843e79f6482f19861111a2f3540a84e7b.sol,,suicidal,High,,,0.6.6,SWC-106
/bdata2/sc/dataset/mainnet/0x4c60e311d8fba04e313f7e7b3dec61b3028726d1.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xb3EeE32cae9ecc667eB7E33B365696f79B304f0F.sol,,suicidal,High,,,0.7.4,SWC-106
/bdata2/sc/dataset/mainnet/0x43ca380243f9f96a6f490e7fed861007e324c3cf.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0x032de41b6677cf4f6a40859d50a7e986e3119284.sol,,suicidal,High,,,v0.4.19,SWC-106
/bdata2/sc/dataset/mainnet/0x1382b4089eF395bdAFBCC7f55aC432847c9dE435.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x1bdc38bae064cad997c200bc4bd99588bf23f3ad.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x105d97ef2e723f1cfb24519bc6ff15a6d091a3f1.sol,,suicidal,High,,,v0.4.18,SWC-106
/bdata2/sc/dataset/mainnet/0x565b1fd4DB5971ab8777dFb13CF5Ffa94C7491c6.sol,,suicidal,High,,,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xf03ecc24efec759e50f2f89fb798ff9ba1435a52.sol,,suicidal,High,,,0.8.13,SWC-106
/bdata2/sc/dataset/mainnet/0xaaF8F4ABC7AC6519c9fb06DA0c08c4aa62F36f4D.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0xdce79709a13a3945c2c6f1575a9e07644100bea6.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0xc609b80c81d690b2ec39f70a5638fff8902a1d89.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x900448f2f4c0dc2805d1183a6f947f38d5db79ee.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xb064b32ecdf0c59d7066f44878931e6c09f9ae58.sol,,suicidal,High,,,0.6.12,SWC-106
/bdata2/sc/dataset/mainnet/0xf24f5ce1b6c60077ba50906ccc1674d0b38dede9.sol,,suicidal,High,,,v0.4.13,SWC-106
/bdata2/sc/dataset/mainnet/0xcd662030bad6e50109fe85ecebd56a8af57cec4d.sol,,suicidal,High,,,0.8.13,SWC-106
/bdata2/sc/dataset/mainnet/0xf01b26626550448606de2b6e7eeda1216d9cd239.sol,,suicidal,High,,,v0.4.22,SWC-106
/bdata2/sc/dataset/mainnet/0x63fed9eb6f80f491bddbc853059414c2f8eb6028.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x6893bec04d0b7314fd90758000fc5da670c4a701.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x280e3bae59054ad274d1fc30349e819049a87d72.sol,,suicidal,High,,,0.8.11,SWC-106
/bdata2/sc/dataset/mainnet/0x29bc8ab14caa6c1f6ec9c82805ee94ccca9bde90.sol,,suicidal,High,,,0.8.10,SWC-106
/bdata2/sc/dataset/mainnet/0xbc307b1dd32f61637e8a47106e1ddd1300f28405.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x88e7029a16443ef0491c5f46042d34d0c56e691f.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xe88Ab68Cd69e92294FcC3BBBD894Fb183197fA39.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0xB42b73e576Fef05b156c6D14EC16aCda3b22AC65.sol,,suicidal,High,,,0.8.0,SWC-106
/bdata2/sc/dataset/mainnet/0xF1B82cBB0b0126602C83b241b3397a97554818ed.sol,,suicidal,High,,,0.8.13,SWC-106
/bdata2/sc/dataset/mainnet/0xEb1Ef7358A9C52c488cfF20B046DEDac8807C845.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0x8634Ab5E10F39d22bF8Af7313dD9A1Bc5939Fa20.sol,,suicidal,High,,,0.8.17,SWC-106
