address,vulnerability,compiler,SWC_ID,tools
0x07c1263cfe9fe86842b1c1aeedee68a629d0ba1a,AccessibleSelfdestruct,8,SWC-106,ethainter
0xc609b80c81d690b2ec39f70a5638fff8902a1d89,AccessibleSelfdestruct,4,SWC-106,ethainter
0xa3cd2dd81c0115d801282f1711e9656ae2770566,AccessibleSelfdestruct,4,SWC-106,ethainter
0x05dab93a76f33fdb225e0a05cafbdd41612b88b6,AccessibleSelfdestruct,4,SWC-106,ethainter
0xfce151195f62ab55c117960216466f6d22dfa2a1,AccessibleSelfdestruct,4,SWC-106,ethainter
0xB5946Ca47fDac59DFf7c71Ed16014e41F687Cf79,AccessibleSelfdestruct,8,SWC-106,ethainter
0x66bd31d0fbc8c2eba1519b8b0cd88059f43badcc,AccessibleSelfdestruct,8,SWC-106,ethainter
0x64d63840cfbcb5a7320c4e104b116f6aa31ce08b,AccessibleSelfdestruct,4,SWC-106,ethainter
0xe25a543d76a0d2524aa3b7860791aef6a7f9e139,AccessibleSelfdestruct,8,SWC-106,ethainter
0xd6049e1f5f3eff1f921f5532af1a1632ba23929c,AccessibleSelfdestruct,7,SWC-106,ethainter
0x9e702937f42db2ce58342ca5f213ef33d51aef6b,AccessibleSelfdestruct,7,SWC-106,ethainter
0xc4f67ffbdfd80cc8e1cceb1c4f51bac74eeda71d,AccessibleSelfdestruct,5,SWC-106,ethainter
0xa8c63267e09f1b4efc9f934ad81c09e021fc8103,AccessibleSelfdestruct,7,SWC-106,ethainter
0xbbe0d7f2af01ae678f8a873cb2d2eb73871c9b5a,AccessibleSelfdestruct,7,SWC-106,ethainter
0x925b0c0663aaef2c6f603ad8b992a15ada83f1cc,AccessibleSelfdestruct,7,SWC-106,ethainter
0xb1a787a25f614f0c643a27877a0e8f7c363c255a,AccessibleSelfdestruct,5,SWC-106,ethainter
0xd18d4756bbf848674cc35f1a0B86afEF20787382,AccessibleSelfdestruct,8,SWC-106,ethainter
0xbc8e3bee99e650dc0c08f7d661ebf9e68b0cb70f,AccessibleSelfdestruct,8,SWC-106,ethainter
0x3c64dc415ebb4690d1df2b6216148c8de6dd29f7,AccessibleSelfdestruct,8,SWC-106,ethainter
0x803838b44a07b1948abb8373c1eabe3e0152b726,AccessibleSelfdestruct,4,SWC-106,ethainter
0x3e3ae6472f14066f3c7a393e9664ddc75d0133e6,AccessibleSelfdestruct,8,SWC-106,ethainter
0xf6ddd14b0233320e1d5415ccf3b9545df2335670,AccessibleSelfdestruct,8,SWC-106,ethainter
0x7d8c2089e764c9020452d21d48035a44510dcfd4,AccessibleSelfdestruct,5,SWC-106,ethainter
0xE6f1D4Eef6EA4cF5Ae53eb13549eF52849D5dCA3,AccessibleSelfdestruct,8,SWC-106,ethainter
0x8be9b5456079737f3aa97fbe7b0d77a5ee74822f,AccessibleSelfdestruct,7,SWC-106,ethainter
0x10c0be5becdfafa53a2b20a987f7d55f24cb2011,AccessibleSelfdestruct,4,SWC-106,ethainter
0x998c4e69a5698cbcd807f127f1fb5faed0b6b97f,AccessibleSelfdestruct,8,SWC-106,ethainter
0x999e7c687ff2593f481954a0ac7e7ac13bee9359,AccessibleSelfdestruct,8,SWC-106,ethainter
0x529ee84bfe4f37132f5f9599d4cc4ff16ee6d0d2,AccessibleSelfdestruct,8,SWC-106,ethainter
0x2AacffB2AbBe1F5Be717db124CCEe1B021e6E1Eb,AccessibleSelfdestruct,8,SWC-106,ethainter
0x1E0E2e4B5F96651E81afdf12204D6F62F1F5E840,AccessibleSelfdestruct,8,SWC-106,ethainter
0x0a33fcd9efa3838f25b22b87e2450208daa80caa,AccessibleSelfdestruct,8,SWC-106,ethainter
0x9daB7c92D25064F41C7196cF2CD69a0DD935A2b3,AccessibleSelfdestruct,8,SWC-106,ethainter
0xCd73e4322Ee1D0a7d01D2A471eBB464dA90454cc,AccessibleSelfdestruct,8,SWC-106,ethainter
0x933E67696E7CE488158b02aeb46b3423e5Af3674,AccessibleSelfdestruct,8,SWC-106,ethainter
0xa83fb84444a4d4ce942df85ed8aa666d440cd5df,AccessibleSelfdestruct,5,SWC-106,ethainter
0xa5b6109ad2d35191b3bc32c00e4526be56fe321f,AccessibleSelfdestruct,4,SWC-106,ethainter
0x62c0a36bd720c1249f19879a948f603bf061afd0,AccessibleSelfdestruct,8,SWC-106,ethainter
0xe5b65168d59fc34f95daae92638ecb60e567d1da,AccessibleSelfdestruct,8,SWC-106,ethainter
0x818a4A855bFEb16C305cb65E8d4fb239a308bc48,AccessibleSelfdestruct,6,SWC-106,ethainter
0xb3e5b75d085085d1b5c572f34c9beafd7f67129c,AccessibleSelfdestruct,4,SWC-106,ethainter
0x865786f2D00FB480be0E51662cECDAfc2478F483,AccessibleSelfdestruct,7,SWC-106,ethainter
0x31FF47d5C0D669C2d31A1658e4e10D9605210289,AccessibleSelfdestruct,7,SWC-106,ethainter
0x946526f799bc7aa81ffaf0db821375e7039a2adc,AccessibleSelfdestruct,6,SWC-106,ethainter
0x6686caded7c5c8cd8b45c43966a700a76a36696a,AccessibleSelfdestruct,8,SWC-106,ethainter
0x706f53175d91cf03381e31df39728c6bac352f2c,AccessibleSelfdestruct,5,SWC-106,ethainter
0x70ae24f65c46f3fcb9a4def6ac7f7ef11de852f8,AccessibleSelfdestruct,4,SWC-106,ethainter
0x5cD02A169CfE5B0596B352547879Dd60B7033488,AccessibleSelfdestruct,7,SWC-106,ethainter
0x4d49fb2cc0df856b936cca1816a9e6dd0adfa232,AccessibleSelfdestruct,7,SWC-106,ethainter
0xd459852e273ee8bce1ea9fefa1ddc85ca8e169c3,AccessibleSelfdestruct,7,SWC-106,ethainter
0xA3331A6aE1BC901b8136E6Fe622890B3Fa3dC80e,AccessibleSelfdestruct,8,SWC-106,ethainter
0xd5926cd43981427a0a7b81f5d35d5dd40fc598b5,AccessibleSelfdestruct,8,SWC-106,ethainter
0x39bfe3034d8e32f8e325b386b93037b206617f07,AccessibleSelfdestruct,8,SWC-106,ethainter
0x51F07e597A2A7De7601767407A45FB3f581F7b7D,AccessibleSelfdestruct,8,SWC-106,ethainter
0xf5c29f2843e79f6482f19861111a2f3540a84e7b,AccessibleSelfdestruct,6,SWC-106,ethainter
0x82515f49309101999dbb7113971e2188e1d7a4ee,AccessibleSelfdestruct,6,SWC-106,ethainter
0xbc307b1dd32f61637e8a47106e1ddd1300f28405,AccessibleSelfdestruct,4,SWC-106,ethainter
0x2b1fd51c8162a862f82af3fc457ea93b7bf8b05a,AccessibleSelfdestruct,8,SWC-106,ethainter
