address,location,filepath,vulnerability,category,information,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xBd73aA17Ce60B0e83d972aB1Fb32f7cE138Ca32A.sol,597,/bdata2/sc/dataset/mainnet/0xBd73aA17Ce60B0e83d972aB1Fb32f7cE138Ca32A.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.10,SWC-101
/bdata2/sc/dataset/mainnet/0x5E7C839Ef196e5A50ddc284A11457E8849698aCC.sol,627,/bdata2/sc/dataset/mainnet/0x5E7C839Ef196e5A50ddc284A11457E8849698aCC.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
/bdata2/sc/dataset/mainnet/0x5E7C839Ef196e5A50ddc284A11457E8849698aCC.sol,631,/bdata2/sc/dataset/mainnet/0x5E7C839Ef196e5A50ddc284A11457E8849698aCC.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
/bdata2/sc/dataset/mainnet/0x5E7C839Ef196e5A50ddc284A11457E8849698aCC.sol,642,/bdata2/sc/dataset/mainnet/0x5E7C839Ef196e5A50ddc284A11457E8849698aCC.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
/bdata2/sc/dataset/mainnet/0x5a5b3978904ab2d85d8095aaaabbc85e99c1c5f4.sol,276,/bdata2/sc/dataset/mainnet/0x5a5b3978904ab2d85d8095aaaabbc85e99c1c5f4.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.7,SWC-101
/bdata2/sc/dataset/mainnet/0xdb09b27cb94967416c51aed03e318a5de33d34bc.sol,7072,/bdata2/sc/dataset/mainnet/0xdb09b27cb94967416c51aed03e318a5de33d34bc.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
/bdata2/sc/dataset/mainnet/0x8fea3e2d505aae5af39186dc6e0d5ddba49e751d.sol,7060,/bdata2/sc/dataset/mainnet/0x8fea3e2d505aae5af39186dc6e0d5ddba49e751d.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
/bdata2/sc/dataset/mainnet/0xF3BAC90cDf973a9891aD15d2E6aD6c4a6d053899.sol,6810,/bdata2/sc/dataset/mainnet/0xF3BAC90cDf973a9891aD15d2E6aD6c4a6d053899.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
/bdata2/sc/dataset/mainnet/0x8A6B0D8887767474b6BfD71FBDe881eAB10fD4d9.sol,425,/bdata2/sc/dataset/mainnet/0x8A6B0D8887767474b6BfD71FBDe881eAB10fD4d9.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.3,SWC-101
/bdata2/sc/dataset/mainnet/0xEEd19eE47C820543d43C68Fa793620428C5B284a.sol,7691,/bdata2/sc/dataset/mainnet/0xEEd19eE47C820543d43C68Fa793620428C5B284a.sol,basic-arithmetic-underflow,security,Possible arithmetic underflow,0.8.4,SWC-101
