address,location,vulnerability,swc_id,severity,vulnerable_contract,vulnerable_function,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x4e521FF388c83b4c945a33984ba42Efb73Cc04e6.sol,20.0,Unprotected Ether Withdrawal,105,High,WrapNZap,fallback,0.8.1,SWC-105
/bdata2/sc/dataset/mainnet/0xc94CD0479d5e57BaE2Bed04Bc816BFFb06e626E8.sol,66.0,Unprotected Ether Withdrawal,105,High,FixedPriceGate,passThruGate,0.7.4,SWC-105
/bdata2/sc/dataset/mainnet/0xff880DDa00485E12F5733E46862fD7b391eB813F.sol,60.0,Unprotected Ether Withdrawal,105,High,FixedPriceGate,passThruGate,0.7.4,SWC-105
/bdata2/sc/dataset/mainnet/0xAACA0e4d849169d9E707A43621F190Ef87D3Fe4B.sol,193.0,Unprotected Ether Withdrawal,105,High,Contract_ETH181013,transferEth,0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x00000000004b30fcA0138cf0534aebBf1cF1856c.sol,54.0,Unprotected Ether Withdrawal,105,High,Receiver,transfer,0.8.6,SWC-105
/bdata2/sc/dataset/mainnet/0xf41164ae20cd4b699aa4768af923c6db20264958.sol,14.0,Unprotected Ether Withdrawal,105,High,Burner,Purge,0.4.11,SWC-105
/bdata2/sc/dataset/mainnet/0xBdb4f8d4D812f602608513ec8c6337Df46d2e442.sol,319.0,Unprotected Ether Withdrawal,105,High,BakcAmendmentPaymaster,fallback,0.8.6,SWC-105
/bdata2/sc/dataset/mainnet/0xBdb4f8d4D812f602608513ec8c6337Df46d2e442.sol,311.0,Unprotected Ether Withdrawal,105,High,BakcAmendmentPaymaster,getRelayHubDeposit,0.8.6,SWC-105
/bdata2/sc/dataset/mainnet/0x153ab47326a18209cd24bbcda4c5933714549e5e.sol,61.0,Unprotected Ether Withdrawal,105,High,DiscreetError,claim,0.6.12,SWC-105
/bdata2/sc/dataset/mainnet/0x599CE9E4DA4844eD1E6A22e4E19A0b998C6b5702.sol,193.0,Unprotected Ether Withdrawal,105,High,Contract_ETH18104,transferEth,0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0xf6CF0973E406C1b06B7793968D2e7785918CeC2c.sol,126.0,Unprotected Ether Withdrawal,105,High,TGE,CollectFunds,0.8.4,SWC-105
/bdata2/sc/dataset/mainnet/0xf74c553aa8208bb1e1314da5d44f4ca59641c62f.sol,428.0,Unprotected Ether Withdrawal,105,High,GasBackTreasury,withdrawTreasuryETH,0.5.16,SWC-105
/bdata2/sc/dataset/mainnet/0x9425F909ccdd516832C7B27C28C8Ed427A5418f0.sol,46.0,Unprotected Ether Withdrawal,105,High,ConditionalVault,transfer,0.8.5,SWC-105
/bdata2/sc/dataset/mainnet/0xF9591aa03A869fb19aBaD18b820C38A28543A178.sol,193.0,Unprotected Ether Withdrawal,105,High,Contract_ETH18111,transferEth,0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x42065e416e2B89D5D410aC4D1247849360e77368.sol,193.0,Unprotected Ether Withdrawal,105,High,Contract_ETH18093,transferEth,0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0xefc1b11ad4b183ad859ef220a9c498cb04716a31.sol,25.0,Unprotected Ether Withdrawal,105,High,Counter,inc,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xd4236a5b05aafadb21a3e657f6818ad9f20699ae.sol,265.0,Unprotected Ether Withdrawal,105,High,NDUXB,sendAllLocalEthers,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x024c0e1966a52c506e95679f2edb7c031aaa8011.sol,116.0,Unprotected Ether Withdrawal,105,High,GagarinToken,withdraw,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x8D4EB49f0eD7EE6d6E00fc76eA3E9C3898bf219D.sol,41.0,Unprotected Ether Withdrawal,105,High,BirthDayGift,GetGift,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x774f04fe52f7f44d94cdd327186062f62ae84ea9.sol,109.0,Unprotected Ether Withdrawal,105,High,Withdrawable,withdrawEther,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x774f04fe52f7f44d94cdd327186062f62ae84ea9.sol,,Unprotected Ether Withdrawal,105,High,Withdrawable,withdrawTokens,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x774f04fe52f7f44d94cdd327186062f62ae84ea9.sol,109.0,Unprotected Ether Withdrawal,105,High,AirDrop,tokenAllowance,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x774f04fe52f7f44d94cdd327186062f62ae84ea9.sol,95.0,Unprotected Ether Withdrawal,105,High,AirDrop,withdrawEther,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x774f04fe52f7f44d94cdd327186062f62ae84ea9.sol,109.0,Unprotected Ether Withdrawal,105,High,AirDrop,tokenBalanceOf,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0xaa4250216f77a79fd9983642a987f708f1fe7504.sol,309.0,Unprotected Ether Withdrawal,105,High,Bank,withdraw,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xaa4250216f77a79fd9983642a987f708f1fe7504.sol,309.0,Unprotected Ether Withdrawal,105,High,Bank,onRemove,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x2634Baad203cBA4AA4114C132b2E50A3a6027Ff9.sol,41.0,Unprotected Ether Withdrawal,105,High,BIRTHDAY_GIFT_1_ETH,GetGift,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0xca54C9668f23D95Defa69C683DAAFdaDA99DAf5C.sol,325.0,Unprotected Ether Withdrawal,105,High,IrisTokenPrivatSale,fallback,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x00eaa60fd31df3cd294ca88838e58293d8d6e861.sol,50.0,Unprotected Ether Withdrawal,105,High,EthMashTower,userWithdraw,v0.4.22,SWC-105
/bdata2/sc/dataset/mainnet/0x245aba0b9188e3a00103b7eeee366fe5dc094243.sol,309.0,Unprotected Ether Withdrawal,105,High,CooldownEndTimeResetEffect,withdraw,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x245aba0b9188e3a00103b7eeee366fe5dc094243.sol,309.0,Unprotected Ether Withdrawal,105,High,CooldownEndTimeResetEffect,onRemove,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x245aba0b9188e3a00103b7eeee366fe5dc094243.sol,346.0,Unprotected Ether Withdrawal,105,High,CooldownEndTimeResetEffect,runSigned,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x245aba0b9188e3a00103b7eeee366fe5dc094243.sol,349.0,Unprotected Ether Withdrawal,105,High,CooldownEndTimeResetEffect,runSigned,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x7ee65fe55accd9430f425379851fe768270c6699.sol,82.0,Unprotected Ether Withdrawal,105,High,EthRelief,upgrade,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x64cc1a7dfe15f69b2b5dbe80b4e40a51aaa7917c.sol,43.0,Unprotected Ether Withdrawal,105,High,Auction,claim,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x3f80d082998a23ed4edee025b6df7c4f3a1c7958.sol,309.0,Unprotected Ether Withdrawal,105,High,GenerationDecreaseEffect,withdraw,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x3f80d082998a23ed4edee025b6df7c4f3a1c7958.sol,309.0,Unprotected Ether Withdrawal,105,High,GenerationDecreaseEffect,onRemove,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x3f80d082998a23ed4edee025b6df7c4f3a1c7958.sol,346.0,Unprotected Ether Withdrawal,105,High,GenerationDecreaseEffect,runSigned,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x3f80d082998a23ed4edee025b6df7c4f3a1c7958.sol,356.0,Unprotected Ether Withdrawal,105,High,GenerationDecreaseEffect,runSigned,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0xae5e58aed25dd4ac35318aaba363c0b1f0fc8996.sol,132.0,Unprotected Ether Withdrawal,105,High,PreSale,withdrawal,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x0db847406c33959dd0b30fd6962b60f1f3bfcce7.sol,173.0,Unprotected Ether Withdrawal,105,High,TwoXMachine,payout,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x954791f9a0f0ff7841cffea32c556ac71168eff8.sol,40.0,Unprotected Ether Withdrawal,105,High,RandoLotto,claimWinnings,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x33914fa445969ded631bf4c33d8882c225386620.sol,309.0,Unprotected Ether Withdrawal,105,High,ItemMarket,withdraw,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x33914fa445969ded631bf4c33d8882c225386620.sol,309.0,Unprotected Ether Withdrawal,105,High,ItemMarket,onRemove,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x8cc926f5bd83a420e127d80ee2874c22aa368b14.sol,33.0,Unprotected Ether Withdrawal,105,High,ZperMainSale,forwardFunds,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x4f6a5e0e91c903c7bf2007b14df4fddcf08d9135.sol,69.0,Unprotected Ether Withdrawal,105,High,BoomerangLiquidity,withdraw,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x4f6a5e0e91c903c7bf2007b14df4fddcf08d9135.sol,84.0,Unprotected Ether Withdrawal,105,High,BoomerangLiquidity,donate,v0.4.21,SWC-105
/bdata2/sc/dataset/mainnet/0x8d46b2a9f3fea145e9869aa8b353d04487eb2374.sol,99.0,Unprotected Ether Withdrawal,105,High,OlyseumPurchase,approve_unwanted_tokens,v0.4.19,SWC-105
/bdata2/sc/dataset/mainnet/0x8d46b2a9f3fea145e9869aa8b353d04487eb2374.sol,105.0,Unprotected Ether Withdrawal,105,High,OlyseumPurchase,emergency_withdraw,v0.4.19,SWC-105
